Info (125069): Default assignment values were changed in the current version of the Quartus Prime software -- changes to default assignments values are contained in file c:/intelfpga/18.1/quartus/bin64/assignment_defaults.qdf
Info: *******************************************************************
Info: Running Quartus Prime Timing Analyzer
    Info: Version 18.1.0 Build 625 09/12/2018 SJ Standard Edition
    Info: Copyright (C) 2018  Intel Corporation. All rights reserved.
    Info: Your use of Intel Corporation's design tools, logic functions 
    Info: and other software and tools, and its AMPP partner logic 
    Info: functions, and any output files from any of the foregoing 
    Info: (including device programming or simulation files), and any 
    Info: associated documentation or information are expressly subject 
    Info: to the terms and conditions of the Intel Program License 
    Info: Subscription Agreement, the Intel Quartus Prime License Agreement,
    Info: the Intel FPGA IP License Agreement, or other applicable license
    Info: agreement, including, without limitation, that your use is for
    Info: the sole purpose of programming logic devices manufactured by
    Info: Intel and sold by Intel or its authorized distributors.  Please
    Info: refer to the applicable agreement for further details.
    Info: Processing started: Mon Nov 11 11:58:34 2019
Info: Command: quartus_sta --sdc=toolflow.sdc toolflow --do_report_timing
Info: qsta_default_script.tcl version: #1
Warning (18236): Number of processors has not been specified which may cause overloading on shared machines.  Set the global assignment NUM_PARALLEL_PROCESSORS in your QSF to an appropriate value for best performance.
Info (20030): Parallel compilation is enabled and will use 4 of the 4 processors detected
Info (21076): High junction temperature operating condition is not set. Assuming a default value of '85'.
Info (21076): Low junction temperature operating condition is not set. Assuming a default value of '0'.
Info (332104): Reading SDC File: 'toolflow.sdc'
Info: Found TIMING_ANALYZER_REPORT_SCRIPT_INCLUDE_DEFAULT_ANALYSIS = ON
Info: Analyzing Slow 1200mV 85C Model
Critical Warning (332148): Timing requirements not met
    Info (11105): For recommendations on closing timing, run Report Timing Closure Recommendations in the Timing Analyzer.
Info (332146): Worst-case setup slack is -17.040
    Info (332119):     Slack       End Point TNS Clock 
    Info (332119): ========= =================== =====================
    Info (332119):   -17.040         -347591.146 iCLK 
Info (332146): Worst-case hold slack is 1.028
    Info (332119):     Slack       End Point TNS Clock 
    Info (332119): ========= =================== =====================
    Info (332119):     1.028               0.000 iCLK 
Info (332140): No Recovery paths to report
Info (332140): No Removal paths to report
Info (332146): Worst-case minimum pulse width slack is 9.738
    Info (332119):     Slack       End Point TNS Clock 
    Info (332119): ========= =================== =====================
    Info (332119):     9.738               0.000 iCLK 
Info (332115): Report Timing: Found 1 setup paths (1 violated).  Worst case slack is -17.040
    Info (332115): -to_clock [get_clocks {iCLK}]
    Info (332115): -setup
    Info (332115): -stdout
Info (332115): Path #1: Setup slack is -17.040 (VIOLATED)
    Info (332115): ===================================================================
    Info (332115): From Node    : pc_register:pc_reg|s_Q[9]
    Info (332115): To Node      : pc_register:pc_reg|s_Q[9]
    Info (332115): Launch Clock : iCLK
    Info (332115): Latch Clock  : iCLK
    Info (332115): Data Arrival Path:
    Info (332115): Total (ns)  Incr (ns)     Type  Element
    Info (332115): ==========  ========= ==  ====  ===================================
    Info (332115):      0.000      0.000           launch edge time
    Info (332115):     21.456      0.287 RR  CELL  alu_compute|\alu_loop:2:alu_i|adder|or1|o_F~0|combout
    Info (332115):     21.682      0.226 RR    IC  alu_compute|\alu_loop:3:alu_i|adder|or1|o_F~0|datad
    Info (332115):     21.837      0.155 RR  CELL  alu_compute|\alu_loop:3:alu_i|adder|or1|o_F~0|combout
    Info (332115):     22.095      0.258 RR    IC  alu_compute|\alu_loop:4:alu_i|adder|or1|o_F~0|dataa
    Info (332115):     22.495      0.400 RR  CELL  alu_compute|\alu_loop:4:alu_i|adder|or1|o_F~0|combout
    Info (332115):     22.722      0.227 RR    IC  alu_compute|\alu_loop:5:alu_i|adder|or1|o_F~0|datad
    Info (332115):     22.877      0.155 RR  CELL  alu_compute|\alu_loop:5:alu_i|adder|or1|o_F~0|combout
    Info (332115):     23.105      0.228 RR    IC  alu_compute|\alu_loop:6:alu_i|adder|or1|o_F~0|datad
    Info (332115):     23.260      0.155 RR  CELL  alu_compute|\alu_loop:6:alu_i|adder|or1|o_F~0|combout
    Info (332115):     23.483      0.223 RR    IC  alu_compute|\alu_loop:7:alu_i|adder|or1|o_F~0|datac
    Info (332115):     23.770      0.287 RR  CELL  alu_compute|\alu_loop:7:alu_i|adder|or1|o_F~0|combout
    Info (332115):     23.998      0.228 RR    IC  alu_compute|\alu_loop:8:alu_i|adder|or1|o_F~0|datad
    Info (332115):     24.153      0.155 RR  CELL  alu_compute|\alu_loop:8:alu_i|adder|or1|o_F~0|combout
    Info (332115):     24.380      0.227 RR    IC  alu_compute|\alu_loop:9:alu_i|adder|or1|o_F~0|datad
    Info (332115):     24.535      0.155 RR  CELL  alu_compute|\alu_loop:9:alu_i|adder|or1|o_F~0|combout
    Info (332115):     24.762      0.227 RR    IC  alu_compute|\alu_loop:10:alu_i|adder|or1|o_F~0|datad
    Info (332115):     24.917      0.155 RR  CELL  alu_compute|\alu_loop:10:alu_i|adder|or1|o_F~0|combout
    Info (332115):     25.144      0.227 RR    IC  alu_compute|\alu_loop:11:alu_i|adder|or1|o_F~0|datad
    Info (332115):     25.299      0.155 RR  CELL  alu_compute|\alu_loop:11:alu_i|adder|or1|o_F~0|combout
    Info (332115):     25.525      0.226 RR    IC  alu_compute|\alu_loop:12:alu_i|adder|or1|o_F~0|datad
    Info (332115):     25.680      0.155 RR  CELL  alu_compute|\alu_loop:12:alu_i|adder|or1|o_F~0|combout
    Info (332115):     25.909      0.229 RR    IC  alu_compute|\alu_loop:13:alu_i|adder|or1|o_F~0|datad
    Info (332115):     26.064      0.155 RR  CELL  alu_compute|\alu_loop:13:alu_i|adder|or1|o_F~0|combout
    Info (332115):     26.288      0.224 RR    IC  alu_compute|\alu_loop:14:alu_i|adder|or1|o_F~0|datac
    Info (332115):     26.575      0.287 RR  CELL  alu_compute|\alu_loop:14:alu_i|adder|or1|o_F~0|combout
    Info (332115):     26.802      0.227 RR    IC  alu_compute|\alu_loop:15:alu_i|adder|or1|o_F~0|datad
    Info (332115):     26.957      0.155 RR  CELL  alu_compute|\alu_loop:15:alu_i|adder|or1|o_F~0|combout
    Info (332115):     27.669      0.712 RR    IC  alu_compute|\alu_loop:16:alu_i|adder|or1|o_F~0|datad
    Info (332115):     27.824      0.155 RR  CELL  alu_compute|\alu_loop:16:alu_i|adder|or1|o_F~0|combout
    Info (332115):     28.050      0.226 RR    IC  alu_compute|\alu_loop:17:alu_i|adder|or1|o_F~0|datad
    Info (332115):     28.205      0.155 RR  CELL  alu_compute|\alu_loop:17:alu_i|adder|or1|o_F~0|combout
    Info (332115):     28.429      0.224 RR    IC  alu_compute|\alu_loop:18:alu_i|adder|or1|o_F~0|datac
    Info (332115):     28.716      0.287 RR  CELL  alu_compute|\alu_loop:18:alu_i|adder|or1|o_F~0|combout
    Info (332115):     28.943      0.227 RR    IC  alu_compute|\alu_loop:19:alu_i|adder|or1|o_F~0|datad
    Info (332115):     29.098      0.155 RR  CELL  alu_compute|\alu_loop:19:alu_i|adder|or1|o_F~0|combout
    Info (332115):     29.325      0.227 RR    IC  alu_compute|\alu_loop:20:alu_i|adder|or1|o_F~0|datad
    Info (332115):     29.480      0.155 RR  CELL  alu_compute|\alu_loop:20:alu_i|adder|or1|o_F~0|combout
    Info (332115):     29.708      0.228 RR    IC  alu_compute|\alu_loop:21:alu_i|adder|or1|o_F~0|datad
    Info (332115):     29.863      0.155 RR  CELL  alu_compute|\alu_loop:21:alu_i|adder|or1|o_F~0|combout
    Info (332115):     30.089      0.226 RR    IC  alu_compute|\alu_loop:22:alu_i|adder|or1|o_F~0|datad
    Info (332115):     30.244      0.155 RR  CELL  alu_compute|\alu_loop:22:alu_i|adder|or1|o_F~0|combout
    Info (332115):     30.456      0.212 RR    IC  alu_compute|\alu_loop:23:alu_i|adder|or1|o_F~0|datad
    Info (332115):     30.611      0.155 RR  CELL  alu_compute|\alu_loop:23:alu_i|adder|or1|o_F~0|combout
    Info (332115):     30.824      0.213 RR    IC  alu_compute|\alu_loop:24:alu_i|adder|or1|o_F~0|datad
    Info (332115):     30.979      0.155 RR  CELL  alu_compute|\alu_loop:24:alu_i|adder|or1|o_F~0|combout
    Info (332115):     31.205      0.226 RR    IC  alu_compute|\alu_loop:25:alu_i|adder|or1|o_F~0|datad
    Info (332115):     31.360      0.155 RR  CELL  alu_compute|\alu_loop:25:alu_i|adder|or1|o_F~0|combout
    Info (332115):     31.586      0.226 RR    IC  alu_compute|\alu_loop:26:alu_i|adder|or1|o_F~0|datad
    Info (332115):     31.741      0.155 RR  CELL  alu_compute|\alu_loop:26:alu_i|adder|or1|o_F~0|combout
    Info (332115):     32.757      1.016 RR    IC  alu_compute|\alu_loop:27:alu_i|adder|or1|o_F~0|datad
    Info (332115):     32.912      0.155 RR  CELL  alu_compute|\alu_loop:27:alu_i|adder|or1|o_F~0|combout
    Info (332115):     33.123      0.211 RR    IC  alu_compute|\alu_loop:28:alu_i|adder|or1|o_F~0|datad
    Info (332115):     33.278      0.155 RR  CELL  alu_compute|\alu_loop:28:alu_i|adder|or1|o_F~0|combout
    Info (332115):     33.489      0.211 RR    IC  alu_compute|\alu_loop:29:alu_i|adder|or1|o_F~0|datad
    Info (332115):     33.644      0.155 RR  CELL  alu_compute|\alu_loop:29:alu_i|adder|or1|o_F~0|combout
    Info (332115):     33.857      0.213 RR    IC  alu_compute|\alu_loop:30:alu_i|adder|or1|o_F~0|datad
    Info (332115):     34.012      0.155 RR  CELL  alu_compute|\alu_loop:30:alu_i|adder|or1|o_F~0|combout
    Info (332115):     34.761      0.749 RR    IC  alu_compute|Mux34~23|datad
    Info (332115):     34.900      0.139 RF  CELL  alu_compute|Mux34~23|combout
    Info (332115):     35.128      0.228 FF    IC  alu_compute|Mux34~27|datad
    Info (332115):     35.253      0.125 FF  CELL  alu_compute|Mux34~27|combout
    Info (332115):     35.488      0.235 FF    IC  alu_compute|Mux34~28|datac
    Info (332115):     35.768      0.280 FF  CELL  alu_compute|Mux34~28|combout
    Info (332115):     36.424      0.656 FF    IC  s_compare_branch_equality~0|datac
    Info (332115):     36.685      0.261 FR  CELL  s_compare_branch_equality~0|combout
    Info (332115):     36.945      0.260 RR    IC  pc_reg|s_Q[2]~12|datad
    Info (332115):     37.084      0.139 RF  CELL  pc_reg|s_Q[2]~12|combout
    Info (332115):     39.412      2.328 FF    IC  pc_next[9]~18|datad
    Info (332115):     39.562      0.150 FR  CELL  pc_next[9]~18|combout
    Info (332115):     39.766      0.204 RR    IC  pc_next[9]~19|datad
    Info (332115):     39.905      0.139 RF  CELL  pc_next[9]~19|combout
    Info (332115):     39.905      0.000 FF    IC  pc_reg|s_Q[9]|d
    Info (332115):     40.009      0.104 FF  CELL  pc_register:pc_reg|s_Q[9]
    Info (332115): Data Required Path:
    Info (332115): Total (ns)  Incr (ns)     Type  Element
    Info (332115): ==========  ========= ==  ====  ===================================
    Info (332115):     20.000     20.000           latch edge time
    Info (332115):     22.939      2.939  R        clock network delay
    Info (332115):     22.971      0.032           clock pessimism removed
    Info (332115):     22.951     -0.020           clock uncertainty
    Info (332115):     22.969      0.018     uTsu  pc_register:pc_reg|s_Q[9]
    Info (332115): Data Arrival Time  :    40.009
    Info (332115): Data Required Time :    22.969
    Info (332115): Slack              :   -17.040 (VIOLATED)
    Info (332115): ===================================================================
Info (332115): Report Timing: Found 1 hold paths (0 violated).  Worst case slack is 1.028
    Info (332115): -to_clock [get_clocks {iCLK}]
    Info (332115): -hold
    Info (332115): -stdout
Info (332115): Path #1: Hold slack is 1.028 
    Info (332115): ===================================================================
    Info (332115): From Node    : pc_register:pc_reg|s_Q[1]
    Info (332115): To Node      : pc_register:pc_reg|s_Q[1]
    Info (332115): Launch Clock : iCLK
    Info (332115): Latch Clock  : iCLK
    Info (332115): Data Arrival Path:
    Info (332115): Total (ns)  Incr (ns)     Type  Element
    Info (332115): ==========  ========= ==  ====  ===================================
    Info (332115):      0.000      0.000           launch edge time
    Info (332115):      2.996      2.996  R        clock network delay
    Info (332115):      3.228      0.232     uTco  pc_register:pc_reg|s_Q[1]
    Info (332115):      3.228      0.000 RR  CELL  pc_reg|s_Q[1]|q
    Info (332115):      3.502      0.274 RR    IC  pc_next[1]~29|dataa
    Info (332115):      3.870      0.368 RR  CELL  pc_next[1]~29|combout
    Info (332115):      4.074      0.204 RR    IC  pc_next[1]~74|datad
    Info (332115):      4.223      0.149 RR  CELL  pc_next[1]~74|combout
    Info (332115):      4.223      0.000 RR    IC  pc_reg|s_Q[1]|d
    Info (332115):      4.292      0.069 RR  CELL  pc_register:pc_reg|s_Q[1]
    Info (332115): Data Required Path:
    Info (332115): Total (ns)  Incr (ns)     Type  Element
    Info (332115): ==========  ========= ==  ====  ===================================
    Info (332115):      0.000      0.000           latch edge time
    Info (332115):      3.110      3.110  R        clock network delay
    Info (332115):      3.078     -0.032           clock pessimism removed
    Info (332115):      3.078      0.000           clock uncertainty
    Info (332115):      3.264      0.186      uTh  pc_register:pc_reg|s_Q[1]
    Info (332115): Data Arrival Time  :     4.292
    Info (332115): Data Required Time :     3.264
    Info (332115): Slack              :     1.028 
    Info (332115): ===================================================================
Info: Analyzing Slow 1200mV 0C Model
Info (334003): Started post-fitting delay annotation
Info (334004): Delay annotation completed successfully
Critical Warning (332148): Timing requirements not met
    Info (11105): For recommendations on closing timing, run Report Timing Closure Recommendations in the Timing Analyzer.
Info (332146): Worst-case setup slack is -14.117
    Info (332119):     Slack       End Point TNS Clock 
    Info (332119): ========= =================== =====================
    Info (332119):   -14.117         -266705.823 iCLK 
Info (332146): Worst-case hold slack is 0.944
    Info (332119):     Slack       End Point TNS Clock 
    Info (332119): ========= =================== =====================
    Info (332119):     0.944               0.000 iCLK 
Info (332140): No Recovery paths to report
Info (332140): No Removal paths to report
Info (332146): Worst-case minimum pulse width slack is 9.766
    Info (332119):     Slack       End Point TNS Clock 
    Info (332119): ========= =================== =====================
    Info (332119):     9.766               0.000 iCLK 
Info (332115): Report Timing: Found 1 setup paths (1 violated).  Worst case slack is -14.117
    Info (332115): -to_clock [get_clocks {iCLK}]
    Info (332115): -setup
    Info (332115): -stdout
Info (332115): Path #1: Setup slack is -14.117 (VIOLATED)
    Info (332115): ===================================================================
    Info (332115): From Node    : pc_register:pc_reg|s_Q[3]
    Info (332115): To Node      : pc_register:pc_reg|s_Q[9]
    Info (332115): Launch Clock : iCLK
    Info (332115): Latch Clock  : iCLK
    Info (332115): Data Arrival Path:
    Info (332115): Total (ns)  Incr (ns)     Type  Element
    Info (332115): ==========  ========= ==  ====  ===================================
    Info (332115):      0.000      0.000           launch edge time
    Info (332115):      2.765      2.765  R        clock network delay
    Info (332115):      2.978      0.213     uTco  pc_register:pc_reg|s_Q[3]
    Info (332115):      2.978      0.000 FF  CELL  pc_reg|s_Q[3]|q
    Info (332115):      3.270      0.292 FF    IC  s_IMemAddr[3]~7|datad
    Info (332115):      3.380      0.110 FF  CELL  s_IMemAddr[3]~7|combout
    Info (332115):      5.079      1.699 FF    IC  IMem|ram~43915|dataa
    Info (332115):      5.456      0.377 FF  CELL  IMem|ram~43915|combout
    Info (332115):      5.700      0.244 FF    IC  IMem|ram~43916|datab
    Info (332115):      6.050      0.350 FR  CELL  IMem|ram~43916|combout
    Info (332115):      7.406      1.356 RR    IC  IMem|ram~43919|datad
    Info (332115):      7.550      0.144 RR  CELL  IMem|ram~43919|combout
    Info (332115):      7.766      0.216 RR    IC  IMem|ram~43922|datab
    Info (332115):      8.161      0.395 RF  CELL  IMem|ram~43922|combout
    Info (332115):      8.376      0.215 FF    IC  IMem|ram~43923|datac
    Info (332115):      8.628      0.252 FF  CELL  IMem|ram~43923|combout
    Info (332115):      8.841      0.213 FF    IC  IMem|ram~43934|datac
    Info (332115):      9.078      0.237 FR  CELL  IMem|ram~43934|combout
    Info (332115):     12.179      3.101 RR    IC  IMem|ram~44062|datac
    Info (332115):     12.444      0.265 RR  CELL  IMem|ram~44062|combout
    Info (332115):     12.634      0.190 RR    IC  IMem|ram~44233|datad
    Info (332115):     12.778      0.144 RR  CELL  IMem|ram~44233|combout
    Info (332115):     12.965      0.187 RR    IC  IMem|ram~44404|datad
    Info (332115):     13.109      0.144 RR  CELL  IMem|ram~44404|combout
    Info (332115):     14.362      1.253 RR    IC  reg_file|Mux65~12|datad
    Info (332115):     14.506      0.144 RR  CELL  reg_file|Mux65~12|combout
    Info (332115):     14.693      0.187 RR    IC  reg_file|Mux65~13|datad
    Info (332115):     14.837      0.144 RR  CELL  reg_file|Mux65~13|combout
    Info (332115):     15.881      1.044 RR    IC  reg_file|Mux65~16|datac
    Info (332115):     16.146      0.265 RR  CELL  reg_file|Mux65~16|combout
    Info (332115):     16.334      0.188 RR    IC  reg_file|Mux65~19|datad
    Info (332115):     16.478      0.144 RR  CELL  reg_file|Mux65~19|combout
    Info (332115):     16.844      0.366 RR    IC  reg_file|Mux65~20|datad
    Info (332115):     16.988      0.144 RR  CELL  reg_file|Mux65~20|combout
    Info (332115):     17.662      0.674 RR    IC  sel_data_b[1]~34|datad
    Info (332115):     17.806      0.144 RR  CELL  sel_data_b[1]~34|combout
    Info (332115):     18.855      1.049 RR    IC  alu_compute|\alu_loop:1:alu_i|adder|or1|o_F~0|dataa
    Info (332115):     19.222      0.367 RR  CELL  alu_compute|\alu_loop:1:alu_i|adder|or1|o_F~0|combout
    Info (332115):     19.426      0.204 RR    IC  alu_compute|\alu_loop:2:alu_i|adder|or1|o_F~0|datac
    Info (332115):     19.691      0.265 RR  CELL  alu_compute|\alu_loop:2:alu_i|adder|or1|o_F~0|combout
    Info (332115):     19.899      0.208 RR    IC  alu_compute|\alu_loop:3:alu_i|adder|or1|o_F~0|datad
    Info (332115):     20.043      0.144 RR  CELL  alu_compute|\alu_loop:3:alu_i|adder|or1|o_F~0|combout
    Info (332115):     20.283      0.240 RR    IC  alu_compute|\alu_loop:4:alu_i|adder|or1|o_F~0|dataa
    Info (332115):     20.650      0.367 RR  CELL  alu_compute|\alu_loop:4:alu_i|adder|or1|o_F~0|combout
    Info (332115):     20.859      0.209 RR    IC  alu_compute|\alu_loop:5:alu_i|adder|or1|o_F~0|datad
    Info (332115):     21.003      0.144 RR  CELL  alu_compute|\alu_loop:5:alu_i|adder|or1|o_F~0|combout
    Info (332115):     21.213      0.210 RR    IC  alu_compute|\alu_loop:6:alu_i|adder|or1|o_F~0|datad
    Info (332115):     21.357      0.144 RR  CELL  alu_compute|\alu_loop:6:alu_i|adder|or1|o_F~0|combout
    Info (332115):     21.562      0.205 RR    IC  alu_compute|\alu_loop:7:alu_i|adder|or1|o_F~0|datac
    Info (332115):     21.827      0.265 RR  CELL  alu_compute|\alu_loop:7:alu_i|adder|or1|o_F~0|combout
    Info (332115):     22.037      0.210 RR    IC  alu_compute|\alu_loop:8:alu_i|adder|or1|o_F~0|datad
    Info (332115):     22.181      0.144 RR  CELL  alu_compute|\alu_loop:8:alu_i|adder|or1|o_F~0|combout
    Info (332115):     22.391      0.210 RR    IC  alu_compute|\alu_loop:9:alu_i|adder|or1|o_F~0|datad
    Info (332115):     22.535      0.144 RR  CELL  alu_compute|\alu_loop:9:alu_i|adder|or1|o_F~0|combout
    Info (332115):     22.744      0.209 RR    IC  alu_compute|\alu_loop:10:alu_i|adder|or1|o_F~0|datad
    Info (332115):     22.888      0.144 RR  CELL  alu_compute|\alu_loop:10:alu_i|adder|or1|o_F~0|combout
    Info (332115):     23.097      0.209 RR    IC  alu_compute|\alu_loop:11:alu_i|adder|or1|o_F~0|datad
    Info (332115):     23.241      0.144 RR  CELL  alu_compute|\alu_loop:11:alu_i|adder|or1|o_F~0|combout
    Info (332115):     23.449      0.208 RR    IC  alu_compute|\alu_loop:12:alu_i|adder|or1|o_F~0|datad
    Info (332115):     23.593      0.144 RR  CELL  alu_compute|\alu_loop:12:alu_i|adder|or1|o_F~0|combout
    Info (332115):     23.804      0.211 RR    IC  alu_compute|\alu_loop:13:alu_i|adder|or1|o_F~0|datad
    Info (332115):     23.948      0.144 RR  CELL  alu_compute|\alu_loop:13:alu_i|adder|or1|o_F~0|combout
    Info (332115):     24.154      0.206 RR    IC  alu_compute|\alu_loop:14:alu_i|adder|or1|o_F~0|datac
    Info (332115):     24.419      0.265 RR  CELL  alu_compute|\alu_loop:14:alu_i|adder|or1|o_F~0|combout
    Info (332115):     24.628      0.209 RR    IC  alu_compute|\alu_loop:15:alu_i|adder|or1|o_F~0|datad
    Info (332115):     24.772      0.144 RR  CELL  alu_compute|\alu_loop:15:alu_i|adder|or1|o_F~0|combout
    Info (332115):     25.439      0.667 RR    IC  alu_compute|\alu_loop:16:alu_i|adder|or1|o_F~0|datad
    Info (332115):     25.583      0.144 RR  CELL  alu_compute|\alu_loop:16:alu_i|adder|or1|o_F~0|combout
    Info (332115):     25.791      0.208 RR    IC  alu_compute|\alu_loop:17:alu_i|adder|or1|o_F~0|datad
    Info (332115):     25.935      0.144 RR  CELL  alu_compute|\alu_loop:17:alu_i|adder|or1|o_F~0|combout
    Info (332115):     26.141      0.206 RR    IC  alu_compute|\alu_loop:18:alu_i|adder|or1|o_F~0|datac
    Info (332115):     26.406      0.265 RR  CELL  alu_compute|\alu_loop:18:alu_i|adder|or1|o_F~0|combout
    Info (332115):     26.615      0.209 RR    IC  alu_compute|\alu_loop:19:alu_i|adder|or1|o_F~0|datad
    Info (332115):     26.759      0.144 RR  CELL  alu_compute|\alu_loop:19:alu_i|adder|or1|o_F~0|combout
    Info (332115):     26.969      0.210 RR    IC  alu_compute|\alu_loop:20:alu_i|adder|or1|o_F~0|datad
    Info (332115):     27.113      0.144 RR  CELL  alu_compute|\alu_loop:20:alu_i|adder|or1|o_F~0|combout
    Info (332115):     27.324      0.211 RR    IC  alu_compute|\alu_loop:21:alu_i|adder|or1|o_F~0|datad
    Info (332115):     27.468      0.144 RR  CELL  alu_compute|\alu_loop:21:alu_i|adder|or1|o_F~0|combout
